gstin,invoice_date,invoice_number,customer_name,taxable_value,igst,cgst,sgst
27AABCU9603R1ZX,2024-04-05,INV001,ABC Traders,150000,27000,0,0
27AABCU9603R1ZX,2024-04-12,INV002,XYZ Corp,95000,0,8550,8550
27AABCU9603R1ZX,2024-04-18,INV003,LMN Pvt Ltd,210000,37800,0,0
27AABCU9603R1ZX,2024-05-03,INV004,ABC Traders,180000,32400,0,0
27AABCU9603R1ZX,2024-05-15,INV005,PQR Industries,125000,0,11250,11250
27AABCU9603R1ZX,2024-05-22,INV006,DEF Exports,300000,54000,0,0
27AABCU9603R1ZX,2024-06-07,INV007,XYZ Corp,98000,0,8820,8820
27AABCU9603R1ZX,2024-06-14,INV008,GHI Co,175000,31500,0,0
27AABCU9603R1ZX,2024-06-25,INV009,LMN Pvt Ltd,220000,39600,0,0
27AABCU9603R1ZX,2024-07-10,INV010,ABC Traders,165000,0,14850,14850
27AABCU9603R1ZX,2024-07-19,INV011,JKL Ltd,195000,35100,0,0
27AABCU9603R1ZX,2024-07-28,INV012,XYZ Corp,140000,0,12600,12600
27AABCU9603R1ZX,2024-08-05,INV013,MNO Pvt Ltd,280000,50400,0,0
27AABCU9603R1ZX,2024-08-17,INV014,ABC Traders,160000,0,14400,14400
27AABCU9603R1ZX,2024-09-03,INV015,DEF Exports,320000,57600,0,0
